2026-06-22 09:18:03 | WARNING | inference.clean | neologdn not installed; skipping that normalization step.
2026-06-22 09:18:03 | WARNING | inference.clean | jaconv not installed; skipping kana width normalization.
2026-06-22 09:18:03 | INFO    | inference.detect | Cropped receipt to 252x472
2026-06-22 09:18:03 | WARNING | inference.detect | No receipt-shaped contour found; trying fallback.
2026-06-22 09:18:03 | INFO    | inference.parse | Parsed 2 item lines (store='セブンイレブン')
2026-06-22 09:18:03 | WARNING | inference.parse | Categorization disabled (No module named 'sentence_transformers'); items left uncategorized.
2026-06-22 09:18:03 | INFO    | inference.parse | Parsed 0 item lines (store='ローソン')
2026-06-22 09:18:03 | INFO    | inference.csv_writer | Wrote CSV /tmp/pytest-of-root/pytest-0/test_csv_columns_and_rows0/r.csv (2 rows)
2026-06-22 09:18:03 | WARNING | inference.csv_writer | No items to write for /tmp/pytest-of-root/pytest-0/test_csv_empty_items0/empty.csv
2026-06-22 09:18:03 | INFO    | inference.csv_writer | Wrote CSV /tmp/pytest-of-root/pytest-0/test_csv_empty_items0/empty.csv (0 rows)
2026-06-22 09:18:03 | INFO    | database.db | Stored receipt id=1 with 2 items
2026-06-23 16:38:18 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test1.png ===
2026-06-23 16:38:18 | INFO    | inference.detect | Cropped receipt to 205x453
2026-06-23 16:38:18 | INFO    | inference.ocr | Initializing OCR engine 'easyocr'
2026-06-23 16:38:34 | WARNING | easyocr.easyocr | Using CPU. Note: This module is much faster with a GPU.
2026-06-23 16:38:34 | WARNING | easyocr.easyocr | Downloading detection model, please wait. This may take several minutes depending upon your network connection.
2026-06-23 16:39:19 | INFO    | easyocr.easyocr | Download complete
2026-06-23 16:39:19 | WARNING | easyocr.easyocr | Downloading recognition model, please wait. This may take several minutes depending upon your network connection.
2026-06-23 16:39:38 | INFO    | easyocr.easyocr | Download complete.
2026-06-23 16:39:45 | INFO    | inference.ocr | OCR produced 2 lines
2026-06-23 16:39:45 | INFO    | inference.parse | Parsed 0 item lines (store='領収証')
2026-06-23 16:39:45 | WARNING | inference.csv_writer | No items to write for C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test1.csv
2026-06-23 16:39:45 | INFO    | inference.csv_writer | Wrote CSV C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test1.csv (0 rows)
2026-06-23 16:39:45 | INFO    | database.db | Stored receipt id=1 with 0 items
2026-06-23 16:39:45 | INFO    | inference.pipeline | === Done C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test1.png -> C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test1.csv ===
2026-06-23 16:39:45 | INFO    | __main__ | OK -> C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test1.csv
2026-06-23 16:45:21 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test2.jpg ===
2026-06-23 16:45:21 | WARNING | inference.detect | No receipt-shaped contour found; trying fallback.
2026-06-23 16:45:21 | ERROR   | inference.pipeline | C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test2.jpg failed: ReceiptNotFoundError: No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 16:45:21 | ERROR   | __main__ | FAILED (ReceiptNotFoundError): No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 16:46:52 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test3.jpg ===
2026-06-23 16:46:52 | WARNING | inference.detect | No receipt-shaped contour found; trying fallback.
2026-06-23 16:46:52 | ERROR   | inference.pipeline | C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test3.jpg failed: ReceiptNotFoundError: No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 16:46:52 | ERROR   | __main__ | FAILED (ReceiptNotFoundError): No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 16:47:46 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test4.jpg ===
2026-06-23 16:47:46 | INFO    | inference.detect | Cropped receipt to 450x729
2026-06-23 16:47:46 | INFO    | inference.ocr | Initializing OCR engine 'easyocr'
2026-06-23 16:47:50 | WARNING | easyocr.easyocr | Using CPU. Note: This module is much faster with a GPU.
2026-06-23 16:47:56 | INFO    | inference.ocr | OCR produced 15 lines
2026-06-23 16:47:56 | INFO    | inference.parse | Parsed 5 item lines (store='瓦せんべい・文楽人形焼')
2026-06-23 16:48:04 | INFO    | inference.parse | Loading embedding model intfloat/multilingual-e5-small
2026-06-23 16:48:04 | INFO    | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-06-23 16:48:04 | INFO    | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: intfloat/multilingual-e5-small
